omega_max_mhz,edge_ns,total_time_ns,num_tslots,max_iter,smoothness_weight,curvature_weight,fidelity,process_fidelity,no_jump_average_fidelity,active_population,loss_proxy,passed,success,num_iter,alpha,beta
10.0,20.0,160.0,64,360,0.0001,0.0001,0.9992669805654695,0.9992669805654695,0.9992669915015393,0.9992670352458182,0.0007329647541818307,True,True,327,3.643355041686313e-14,1.971659288770699
10.0,20.0,170.0,64,360,0.0001,0.0001,0.9992382801830844,0.9992382801830844,0.9992382949033379,0.9992383537843523,0.0007616462156476711,True,True,323,2.181416422338239e-13,1.871963231785461
10.0,20.0,180.0,64,360,0.0001,0.0001,0.9992019586155261,0.9992019586155261,0.9992019754143273,0.9992020426095322,0.0007979573904678405,True,True,12,2.1555000863767494e-13,1.7816451648889668
10.0,20.0,190.0,64,360,0.0001,0.0001,0.9991675527264107,0.9991675527264107,0.9991675703760606,0.9991676409746604,0.000832359025339624,True,True,267,-1.809224375987838e-13,-1.5351612775969827
10.0,20.0,210.0,64,360,0.0001,0.0001,0.9991266710209884,0.9991266710209884,0.9991266844893367,0.9991267383627298,0.0008732616372701951,True,True,334,4.0148013405966635e-12,-1.341389590940558
10.0,20.0,240.0,64,360,0.0001,0.0001,0.9989999922683703,0.9989999922683703,0.999000013137684,0.9990000966149388,0.0009999033850611738,False,True,225,4.056274150843674e-12,-0.7847161720160111
10.0,40.0,120.0,64,360,0.0001,0.0001,0.699063864676426,0.699063864676426,0.7308226428498956,0.8578577555437743,0.1421422444562257,False,True,116,-3.87405786398371e-13,-2.4423148539653425
10.0,40.0,135.0,64,360,0.0001,0.0001,0.8287851678265473,0.8287851678265473,0.8306771652811253,0.8382451550994372,0.1617548449005628,False,True,95,-2.8397064723508314e-13,2.7611378931631383
10.0,40.0,150.0,64,360,0.0001,0.0001,0.9300764937476146,0.9300764937476146,0.9307108331824929,0.9332481909220062,0.06675180907799383,False,True,84,-6.285091403543176e-13,2.457550161722748
10.0,40.0,160.0,64,360,0.0001,0.0001,0.9796788781658382,0.9796788781658382,0.9797745206681261,0.9801570906772776,0.01984290932272237,False,True,114,1.3962700225295142e-13,2.342974812466707
10.0,40.0,170.0,64,360,0.0001,0.0001,0.999281023258276,0.999281023258276,0.9992810330578695,0.9992810722562444,0.000718927743755593,True,True,12,1.4226063760996277e-13,2.2892762312558785
10.0,40.0,180.0,64,360,0.0001,0.0001,0.9992725501500792,0.9992725501500792,0.9992725764364379,0.999272681581872,0.000727318418128009,True,False,360,2.1227309557584207e-13,2.007456357212024
10.0,40.0,190.0,64,360,0.0001,0.0001,0.9992460667025539,0.9992460667025539,0.9992460861749107,0.9992461640643379,0.0007538359356621394,True,True,161,-3.3699191603996694e-13,1.899958545751557
10.0,40.0,210.0,64,360,0.0001,0.0001,0.9991696522197224,0.9991696522197224,0.9991696655710335,0.9991697189762776,0.0008302810237224012,True,True,14,-3.3780155710388735e-13,1.7292151713510313
10.0,40.0,240.0,64,360,0.0001,0.0001,0.9990346164765513,0.9990346164765513,0.9990346570489826,0.9990348193387083,0.000965180661291698,True,False,360,8.370060572586166e-14,1.3763997529557825
10.0,80.0,180.0,64,360,0.0001,0.0001,0.8120599287433443,0.8120599287433443,0.8138296340500567,0.8209084552769057,0.1790915447230943,False,True,114,1.2496388289296985e-13,2.845061415010667
10.0,80.0,190.0,64,360,0.0001,0.0001,0.8846244603204119,0.8846244603204119,0.8869476770041181,0.8962405437389436,0.10375945626105643,False,True,119,-1.557433222522804e-13,-2.3664444196216476
10.0,80.0,210.0,64,360,0.0001,0.0001,0.988337210327143,0.988337210327143,0.9883795671641107,0.9885489945119816,0.011451005488018362,False,True,140,9.051828029828154e-14,2.313598521085641
10.0,80.0,240.0,64,360,0.0001,0.0001,0.9992157910676405,0.9992157910676405,0.9992158030984125,0.9992158512215004,0.0007841487784996382,True,False,360,-3.6854716103085666e-13,1.9444686012411594
20.0,0.0,60.0,64,360,0.0001,0.0001,0.9990928496673348,0.9990928496673348,0.9990972872871154,0.9991150377662374,0.000884962233762554,True,True,48,6.8585947851985255e-15,-1.9672986185748644
20.0,0.0,75.0,64,360,0.0001,0.0001,0.999618118851654,0.999618118851654,0.999618122038061,0.9996181347836886,0.00038186521631145,True,True,165,3.037211266133109e-13,1.9721656955001587
20.0,0.0,90.0,64,360,0.0001,0.0001,0.999555584465299,0.999555584465299,0.9995555886639556,0.9995556054585821,0.0004443945414178696,True,True,189,-4.965059470255979e-15,1.6552122280604358
20.0,0.0,105.0,64,360,0.0001,0.0001,0.9995007556291404,0.9995007556291404,0.9995007611472826,0.9995007832198513,0.0004992167801487479,True,True,296,2.102315580264834e-13,1.1613551455663484
20.0,0.0,120.0,64,360,0.0001,0.0001,0.9994877172782809,0.9994877172782809,0.9994877291204943,0.999487776489348,0.0005122235106520545,True,True,307,7.112976468511006e-13,0.9703408354427422
20.0,0.0,135.0,64,360,0.0001,0.0001,0.9993982961518806,0.9993982961518806,0.999398302379342,0.9993983272891876,0.000601672710812351,True,True,156,9.675396775560177e-13,0.2863998176505923
20.0,0.0,150.0,64,360,0.0001,0.0001,0.9991720214211054,0.9991720214211054,0.9991720329494458,0.9991720790628073,0.0008279209371927498,True,False,360,8.048052663224173e-13,-1.0299794949284389
20.0,0.0,160.0,64,360,0.0001,0.0001,0.9991459772337463,0.9991459772337463,0.9991459946792821,0.999146064461425,0.0008539355385750458,True,False,360,3.237308112684238e-13,1.0368797352439996
20.0,0.0,170.0,64,360,0.0001,0.0001,0.9991046445485492,0.9991046445485492,0.9991046583790839,0.9991047137012226,0.0008952862987774424,True,True,241,1.2742070961062927e-12,0.5311827681125552
20.0,0.0,180.0,64,360,0.0001,0.0001,0.9990351827218529,0.9990351827218529,0.9990351984162412,0.9990352611937949,0.0009647388062050677,True,True,138,2.0052993326434037e-12,0.9026160925391364
