omega_max_mhz,edge_ns,total_time_ns,num_tslots,max_iter,fidelity,process_fidelity,active_population,leakage,cz_phase_error_rad,passed,success,num_iter,alpha,beta
20.0,10.0,50.0,100,240,0.7705943331214962,0.7405204012642371,0.8908900605505324,0.10910993944946756,-1.6890756259115107,False,True,87,-2.1614028938919042e-13,-2.2084748303891035
20.0,10.0,60.0,100,240,0.898336828389198,0.8932236331532418,0.9187896093330232,0.08121039066697677,-0.6617851565780466,False,True,83,9.32241636666252e-14,-2.1416743673403196
20.0,10.0,75.0,100,240,0.9999999876834768,0.9999999862527675,0.9999999934063133,6.593686707745405e-09,-0.0003382040535804265,True,True,55,1.813240194918302e-13,-2.164906308598012
20.0,10.0,95.0,100,240,0.9999999222984067,0.9999999134066543,0.9999999578654164,4.213458359991762e-08,0.0007098115623302981,True,False,240,-6.998559095851185e-14,-1.4039969251979296
20.0,10.0,120.0,100,240,0.9999999705014824,0.9999999700256452,0.9999999724048314,2.7595168594629627e-08,-0.0001711404888311563,True,False,240,1.2493446711853165e-13,-1.3849003691192483
20.0,10.0,150.0,100,240,0.9999999982545162,0.9999999981929912,0.9999999985006165,1.4993835062426797e-09,6.972729396581556e-05,True,True,189,-1.1812210448732417e-13,-1.52096922419575
20.0,10.0,190.0,100,240,0.9999999925913989,0.9999999925708611,0.9999999926735503,7.326449669164958e-09,-1.1301280594011587e-05,True,False,240,2.669320085591254e-13,0.8337382255493694
20.0,20.0,60.0,100,240,0.7491436283739921,0.7096798796982821,0.9069986230768322,0.09300137692316779,-1.9385070513683054,False,True,138,-4.36993790360466e-13,-2.149377940937241
20.0,20.0,75.0,100,240,0.9366073816466294,0.9359354877639238,0.9392949571774518,0.06070504282254818,0.2267746200693832,False,True,116,1.187079773298948e-13,2.530948432714904
20.0,20.0,95.0,100,240,0.9999999876803581,0.9999999866862472,0.9999999916568014,8.343198576454824e-09,0.0002813218310340204,True,True,17,1.1779310367763212e-13,3.0325996567335873
20.0,20.0,120.0,100,240,0.9999999833311538,0.9999999827641871,0.99999998559902,1.4400979964079852e-08,0.00018879232837853976,True,False,240,5.421680376439868e-13,3.141592653589793
20.0,20.0,150.0,100,240,0.9999999937070709,0.9999999936860964,0.9999999937909692,6.209030845027996e-09,4.094417266209405e-05,True,True,116,2.369592298115281e-13,2.6815997783967838
20.0,20.0,190.0,100,240,0.9999999826143618,0.9999999791366839,0.9999999965250737,3.474926346669349e-09,-0.0005268768946757874,True,True,13,2.3647868511708003e-13,1.6988199400081128
20.0,20.0,210.0,100,240,0.9999999976731029,0.9999999976556144,0.9999999977430571,2.2569428548280257e-09,3.392318007033879e-05,True,True,185,4.3870265551921114e-14,1.0460451998214269
20.0,40.0,120.0,100,240,0.9999999354547882,0.9999999282012075,0.999999964469111,3.5530889008761335e-08,-0.0007595129153386004,True,False,240,9.537869368464561e-14,-2.599451135253496
20.0,40.0,150.0,100,240,0.9999999425854911,0.9999999416601331,0.9999999462869232,5.371307676416137e-08,-0.00020206756172402862,True,False,240,-7.930884972263458e-13,-0.766445431316111
20.0,40.0,190.0,100,240,0.9999999972476583,0.9999999972392275,0.9999999972813822,2.718617775343546e-09,-1.2540238295777328e-05,True,True,18,-7.90832052052804e-13,0.8972390432279339
20.0,40.0,210.0,100,240,0.9999999981506574,0.9999999979573464,0.9999999989239017,1.076098321561858e-09,9.950788463619631e-05,True,False,240,-2.056509547898076e-13,-2.1047643637150797
20.0,40.0,230.0,100,240,0.999999995826054,0.9999999956965631,0.9999999963440178,3.6559821836590345e-09,-0.00010067833929117143,True,True,111,-8.732470108358259e-15,1.0092116349540428
20.0,40.0,250.0,100,240,0.9999999974590233,0.9999999972067235,0.9999999984682226,1.5317773716105876e-09,0.00013811822209408575,True,True,199,1.0021412761981608e-13,1.1686307012403578
20.0,40.0,270.0,100,240,0.9999999970534779,0.9999999969982862,0.9999999972742447,2.7257552881465585e-09,6.57938858363849e-05,True,True,10,1.0031375057277047e-13,1.0727045096867993
20.0,80.0,190.0,100,240,0.9999998480488514,0.9999998314716438,0.9999999143576819,8.564231812613343e-08,0.001106140337089112,True,False,240,-2.7159383627876282e-14,-1.551869189844733
20.0,80.0,210.0,100,240,0.9999999587480826,0.9999999524169693,0.9999999840725355,1.592746445844284e-08,0.0007113794976341126,True,False,240,3.476623028811266e-14,-0.6047984609170057
20.0,80.0,230.0,100,240,0.999999990967285,0.9999999909590374,0.9999999910002758,8.999724188107905e-09,-2.1339436080403118e-05,True,True,162,-1.3748809493047271e-14,-1.2826104303237749
20.0,80.0,250.0,100,240,0.9999999882246703,0.9999999862953279,0.9999999959420399,4.057960079073553e-09,0.0003900275267381126,True,False,240,1.3200798189776603e-13,-2.0116762323388593
20.0,80.0,270.0,100,240,0.999999982877133,0.9999999802853566,0.9999999932442382,6.7557618388391916e-09,-0.0004553334152701538,True,True,93,-2.360525175955164e-14,0.9995411559633078
20.0,80.0,290.0,100,240,0.9999999990380806,0.9999999990374246,0.9999999990407045,9.59295531899329e-10,6.997255867169372e-06,True,False,240,1.1877262361481372e-13,-0.5041222717032477
20.0,80.0,310.0,100,240,0.999999991241711,0.9999999907379844,0.9999999932566173,6.743382741092319e-09,0.00020038129261656934,True,True,169,3.308540518696517e-13,-0.9942535925338557
