Fig2a_population_x,Fig2a_population_y,Fig2a_population_yerr,Fig2a_|0>_x,Fig2a_|0>_y,Fig2a_|0>_yerr,Fig2a_|1>_x,Fig2a_|1>_y,Fig2a_|1>_yerr,Fig2b_ScatterRates_x,Fig2b_ScatterRates_y,Fig2b_ScatterRates_yerr,Fig2c_1S0population_x,Fig2c_1S0population_y,Fig2c_1S0population_yerr,Fig2d_dark_counts,Fig2d_dark_bins,Fig2d_bright_counts,Fig2d_bright_bins,Fig2g_P(err.|det.)_x,Fig2g_P(err.|det.)_y,Fig2g_P(err.|det.)_yerr,Fig2g_(e-e_c)/e_x,Fig2g_(e-e_c)/e_y,Fig2g_(e-e_c)/e_yerr,Fig2e_raw_x,Fig2e_raw_y,Fig2e_raw_yerr,Fig2e_eraure_x,Fig2e_eraure_y,Fig2e_eraure_yerr,Fig2e_survival_x,Fig2e_survival_y,Fig2e_survival_yerr,Fig2d_399on_x,Fig2d_399on_y,Fig2d_399on_yerr
,,,,,,,,,,,,,,,0.0,3620.0,40.0,3620.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,3720.0,48.0,3720.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,3820.0,45.0,3820.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,3920.0,33.0,3920.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,4020.0,23.0,4020.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,4120.0,42.0,4120.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,4220.0,19.0,4220.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,4320.0,20.0,4320.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,4420.0,29.0,4420.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,4520.0,16.0,4520.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,4620.0,21.0,4620.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,4720.0,20.0,4720.0,,,,,,,,,,,,,,,,,,
